"csvFile","name","code","type","values","unit","canBeNull","description","comments","conceptPath","methodology"
"custom_file","AV45","av45","real",,,,"AV45 Average AV45 SUVR of frontal  anterior cingulate  precuneus  and parietal cortex\nrelative to the cerebellum",,"/root/pet/av45","adni-merge"
"custom_file","FDG-PET","fdg","real",,,,"Average FDG-PET of angular  temporal  and posterior cingulate. Most important hypometabolic regions that are indicative of pathological metabolic change in MCI and AD.",,"/root/pet/fdg","adni-merge"
"custom_file","PIB","pib","real",,,,"Average PIB SUVR of frontal cortex  anterior cingulate  precuneus cortex  and parietal cortex.",,"/root/pet/pib","adni-merge"
"custom_file","Brainstem","brainstem","real",,"cm3",,"Brainstem volume",,"/root/brain_anatomy/brainstem","lren-nmm-volumes"
"custom_file","TIV","tiv","real",,"cm3",,"Total intra-cranial volume",,"/root/brain_anatomy/tiv","lren-nmm-volumes"
"custom_file","3rd Ventricle","_3rdventricle","real",,"cm3",,,,"/root/brain_anatomy/csf_volume/_3rdventricle","lren-nmm-volumes"
"custom_file","4th Ventricle","_4thventricle","real",,"cm3",,,,"/root/brain_anatomy/csf_volume/_4thventricle","lren-nmm-volumes"
"custom_file","CSF global","csfglobal","real",,"cm3",,,,"/root/brain_anatomy/csf_volume/csfglobal","lren-nmm-volumes"
"custom_file","Left inferior lateral ventricle","leftinflatvent","real",,"cm3",,,,"/root/brain_anatomy/csf_volume/leftinflatvent","lren-nmm-volumes"
"custom_file","Left lateral ventricle","leftlateralventricle","real",,"cm3",,,,"/root/brain_anatomy/csf_volume/leftlateralventricle","lren-nmm-volumes"
"custom_file","Right inferior lateral ventricle","rightinflatvent","real",,"cm3",,,,"/root/brain_anatomy/csf_volume/rightinflatvent","lren-nmm-volumes"
"custom_file","Right lateral ventricle","rightlateralventricle","real",,"cm3",,,,"/root/brain_anatomy/csf_volume/rightlateralventricle","lren-nmm-volumes"
"custom_file","Cerebellar Vermal Lobules I-V","cerebellarvermallobulesiv","real",,"cm3",,,,"/root/brain_anatomy/grey_matter_volume/cerebellum/cerebellarvermallobulesiv","lren-nmm-volumes"
"custom_file","Cerebellar Vermal Lobules VIII-X","cerebellarvermallobulesviiix","real",,"cm3",,,,"/root/brain_anatomy/grey_matter_volume/cerebellum/cerebellarvermallobulesviiix","lren-nmm-volumes"
"custom_file","Cerebellar Vermal Lobules VI-VII","cerebellarvermallobulesvivii","real",,"cm3",,,,"/root/brain_anatomy/grey_matter_volume/cerebellum/cerebellarvermallobulesvivii","lren-nmm-volumes"
"custom_file","Left Cerebellum Exterior","leftcerebellumexterior","real",,"cm3",,,,"/root/brain_anatomy/grey_matter_volume/cerebellum/leftcerebellumexterior","lren-nmm-volumes"
"custom_file","Right Cerebellum Exterior","rightcerebellumexterior","real",,"cm3",,,,"/root/brain_anatomy/grey_matter_volume/cerebellum/rightcerebellumexterior","lren-nmm-volumes"
"custom_file","Left Amygdala","leftamygdala","real",,"cm3",,,,"/root/brain_anatomy/grey_matter_volume/cerebral_nuclei/amygdala/leftamygdala","lren-nmm-volumes"
"custom_file","Right Amygdala","rightamygdala","real",,"cm3",,,,"/root/brain_anatomy/grey_matter_volume/cerebral_nuclei/amygdala/rightamygdala","lren-nmm-volumes"
"custom_file","Left Accumbens Area","leftaccumbensarea","real",,"cm3",,,,"/root/brain_anatomy/grey_matter_volume/cerebral_nuclei/basal_ganglia/leftaccumbensarea","lren-nmm-volumes"
"custom_file","Left Basal Forebrain","leftbasalforebrain","real",,"cm3",,,,"/root/brain_anatomy/grey_matter_volume/cerebral_nuclei/basal_ganglia/leftbasalforebrain","lren-nmm-volumes"
"custom_file","Left Caudate","leftcaudate","real",,"cm3",,,,"/root/brain_anatomy/grey_matter_volume/cerebral_nuclei/basal_ganglia/leftcaudate","lren-nmm-volumes"
"custom_file","Left Pallidum","leftpallidum","real",,"cm3",,,,"/root/brain_anatomy/grey_matter_volume/cerebral_nuclei/basal_ganglia/leftpallidum","lren-nmm-volumes"
